CV_IMF1	CV_IMF2	CV_IMF3	CV_IMF4	CV_IMF5	FI_IMF1	FI_IMF2	FI_IMF3	FI_IMF4	FI_IMF5	SK_IMF1	SK_IMF2	SK_IMF3	SK_IMF4	SK_IMF5	KU_IMF1	KU_IMF2	KU_IMF3	KU_IMF4	KU_IMF5
-1920.272288	-59700.19249	-42867.7739	-361431.2805	-94519.08359	0.937282975	0.166058704	0.037621039	0.011254016	0.002321031	-0.037672626	-0.006755378	-0.218101317	-0.067951584	-0.179223699	2.232315464	3.138409745	3.988447538	3.093332307	3.246054835
-899.8746826	-360488.9838	-863874.1772	-7903126.775	-1549709.787	1.001674841	0.157632067	0.047957566	0.016947405	0.00312054	-0.028867749	-0.040164085	0.030988333	0.056384551	-0.059385066	2.18156397	2.845838512	2.931379138	2.103789817	1.895251219
-369.6476821	-207990.172	-17200801.61	-102500.0466	-99406698.92	0.968746009	0.162314887	0.045170994	0.013832264	0.002390936	-0.081405788	-0.009579984	0.082314028	-0.116297722	0.071031451	2.343241063	2.65448319	3.320616301	2.644229505	2.468871565
-1367.310685	-89691.05678	-673421.1603	-234306.3908	-28336906.28	0.968279904	0.171959977	0.045318979	0.012498983	0.00207157	-0.052963169	-0.123357063	-0.010088944	-0.23416508	0.156449001	2.285584756	2.790033382	3.043827821	3.472966757	3.454130604
-565.5563208	-14450957.86	-112686.063	-29541.58493	-208683.1608	0.933375801	0.167100934	0.035137996	0.011156577	0.002337563	-0.071167015	-0.02393693	0.196301141	0.129571426	-0.199982816	2.406741102	2.650096727	2.964650252	2.895810068	3.009462854
-462.5152576	-138295.4021	-201942.8356	-11791297.29	-12749668.77	0.963371475	0.16069903	0.037685773	0.013995249	0.002893122	-0.072997514	-0.005258547	0.087056892	-0.144522249	-0.044863805	2.223054538	2.864641572	3.177646876	2.707261412	2.315457646
-604.6515489	-1951563.367	-46487.33308	-266182.0239	-1102172.497	0.974731123	0.169632779	0.038675102	0.009177356	0.003494222	-0.02792471	0.006324954	-0.075296859	0.098485393	0.072048632	2.284355105	2.71537491	3.253728662	2.959604752	2.4156773
-931.6711284	-313557.6535	-38784.13788	-650529.5937	-20165806.04	0.97338786	0.165453758	0.046842931	0.010875702	0.002812152	-0.049686839	-0.140079945	0.040915043	-0.166079907	-0.296997324	2.223407516	3.282499013	2.59102617	2.65401325	3.24847662
-2214.481026	-266885.7548	-252281089.7	-15236457.04	2.688749252	0.948076882	0.149793836	0.040306275	0.013139216	0.009344581	-0.008550162	-0.050740981	0.068130524	0.094297947	-3.800169769	2.324539572	2.789895215	3.06780428	2.264295318	17.07288855
0.141080718	8.672909969	0.204595039	3.257148082	46.33650315	435.6505821	220.2932756	1.016303742	0.24668599	0.113690939	-0.259416498	0.012557006	2.407281688	-1.2547387	0.415985219	1.98703875	2.006214696	15.16237211	10.87625091	6.234465896
1.556735961	99.616638	-21.2775038	74.05247552	9.854919326	125.3000455	63.05230593	0.100239378	0.05282667	0.02470332	-0.613517003	0.082708579	-0.382285737	-1.783952322	0.081544707	7.046120372	6.766575947	11.04613846	12.29565956	6.278409251
1.775656619	0.008027207	0.008911585	0.104546486	145.572431	80.3050904	40.04468208	20.0849249	6.676007692	0.481316388	-0.44449136	0.283174889	0.487955495	-0.184883437	-0.310159046	10.9509573	4.263300926	3.382747524	1.991271602	2.384548249
63.99896897	0.032321126	0.584132504	0.22363782	0.289021507	28.95179889	15.09961063	8.223689148	2.769812311	0.485717539	-0.718988908	-0.865907845	0.288609374	0.330055551	-0.037023523	31.6053626	8.855607411	7.509957698	4.780480064	4.428521158
0.077101354	49.29187444	0.025802012	0.103318117	3.196145725	124.6062433	48.5470166	24.58765574	9.119959279	0.735412166	-0.424113745	0.001154778	0.442037684	0.04024996	0.728143798	8.398151257	4.509400094	2.968096714	2.287719076	4.859958831
0.420759148	0.34071771	0.166909476	2.426597198	16.78565886	52.02406331	21.32587683	11.79940866	3.936818263	0.552724575	-0.444164864	-1.353927125	0.646159308	0.149631004	0.041007683	19.90291763	10.1983863	7.851550716	4.662433976	4.436040663
0.461749578	1.300388914	4.652548434	94.47381244	4.984611116	196.4243359	69.99768597	40.00088723	4.784218802	0.261050086	-0.404356765	-0.155026055	-0.007921644	0.013294415	0.739215034	4.809967094	3.474940365	2.2326943	2.15158059	6.882355579
1.991397273	0.007574958	0.882630507	1.463322145	7.044133851	93.4908263	35.56005613	19.69463647	3.328549959	0.865662109	-0.519771115	-2.892850129	0.233376258	0.467218292	-0.698301057	10.06158449	13.35559072	4.192673578	8.82443505	5.542145308
10.7556026	6.650336588	56.52433218	1.916993543	16.647203	209.4951938	77.6746919	49.62887733	0.356379276	0.102380129	-0.202579327	-0.390430598	0.004392218	1.352884957	-0.61371289	4.499171478	2.954285648	2.288679271	12.04258296	6.386160939
35.31078945	0.213731556	0.455813789	84.43709497	34.68380723	119.5443909	45.7282534	29.26857	0.579869501	0.49007382	-2.58E-01	-1.609928988	-0.094079943	-0.859415792	-1.137449262	7.920661162	8.504185519	3.932016015	10.38477676	5.235505147
1226.087373	4.85773235	2.760221088	42.74853384	42.47017253	242.8781735	133.2407364	7.833210481	0.411772873	0.077949183	-0.086624806	-0.002388365	0.074637687	0.95011239	-0.056664055	2.849835655	2.556711178	3.169428352	13.32492995	2.688669144
460.3014251	0.048794308	1.094886758	0.7038782	1.063728982	161.7445069	89.3941038	6.508461629	1.106220285	0.592990025	-0.127440643	-0.457354902	-0.789053199	-0.558016751	-0.29816051	4.331573832	3.922684269	10.85376475	10.1340547	4.860412309
0.234623912	5.367134672	0.26148026	3.148348	646.7811742	317.7870577	160.5605988	0.967804528	0.23118867	0.121828057	-0.329497905	0.016379197	2.379593807	-0.811682812	-0.382739963	2.734798005	2.747168645	15.10012575	10.3940612	5.112267271
0.675796902	60.57010646	55.7206831	1931.571767	-6481.192641	243.1092291	122.5686068	0.161284116	0.042718067	0.015408189	-0.418098316	0.042341715	-1.587811711	-1.688979942	-1.008635751	3.599324029	3.54602941	17.89640263	12.44500036	6.814314835
-326.7710975	-63134.44145	-92574.63941	-141208028.1	-2215407.249	0.930313694	0.16300018	0.044488828	0.009477894	0.002581262	0.168533341	0.036992468	-0.046461258	-0.13671792	0.025753115	2.295994079	2.460694152	3.489375215	2.650097248	2.42267095
-548.3039905	-217178.2512	-195556.227	-666523.1655	-753589.9003	0.993254724	0.160559372	0.049959657	0.009910815	0.002395045	0.133156387	0.003572186	0.034204651	-0.243419099	0.04793679	2.31330563	2.768539955	2.75535722	4.4583289	2.587952541
-366.1652619	-145991.8389	-269564.7404	-4623902.581	-5176134.485	0.960693601	0.170694411	0.043524622	0.011122198	0.002639728	0.140812776	0.000472437	0.006839785	0.025236729	-0.000755552	2.311646037	2.603830775	2.459110732	2.886540494	2.262843558
-217.871788	-12549.74329	-104623.7707	-1219226.731	-2335544.158	0.96735737	0.158062401	0.041831842	0.009079396	0.001864442	0.135181062	-0.024765081	-0.04533593	-0.256629238	0.114833566	2.289589606	2.387956917	3.274038622	3.356204502	3.612072414
-621.4978555	-401636.5951	-785890.4944	-749569.9792	-406160.5471	0.943463821	0.179886531	0.050002882	0.010168761	0.003903034	0.12770249	0.107420349	0.041955387	-0.093660591	0.106289452	2.305829548	2.680362335	2.835424789	3.109834368	2.060040764
