CV_IMF1	CV_IMF2	CV_IMF3	CV_IMF4	CV_IMF5	FI_IMF1	FI_IMF2	FI_IMF3	FI_IMF4	FI_IMF5	SK_IMF1	SK_IMF2	SK_IMF3	SK_IMF4	SK_IMF5	KU_IMF1	KU_IMF2	KU_IMF3	KU_IMF4	KU_IMF5
9.179958131	-293.3939229	-250833.7611	-34125.60422	-9372.834949	1.624712343	0.454270433	0.068414307	0.026660215	0.010508052	-0.222586121	-0.029175635	0.255985607	0.496557857	1.061101262	2.258219736	2.401025793	3.501249042	3.745766026	6.079500196
439.9171026	-3176.723727	-22346.13834	-3921.508032	-91262.13792	1.795715009	0.380107884	0.066566969	0.026645983	0.00786248	0.031468923	-0.000339614	0.188000356	0.011156294	-0.097538423	2.10034095	2.333814444	2.863082904	2.507799943	2.094273327
16.18553382	-2693.026027	-12042.86543	-12861.34435	-1091637167	1.584947689	0.45202424	0.081185094	0.027115108	0.008891417	-0.264721333	-0.027211103	-0.234781241	0.222109709	0.045541869	2.403527059	2.516279131	3.400285559	3.743208666	1.978074201
29.68338081	-51230.95997	-10061.32963	-2520.874182	-40710.84684	1.732352845	0.450553332	0.070309988	0.021752744	0.005185728	-0.13923764	0.046149535	-0.023084408	-0.128932689	0.016696589	2.171341884	2.369437012	3.599581324	2.935490967	2.834915904
202.6178675	-1563.083064	-27660.10828	-107258.1658	-14206.67914	1.771042284	0.368515607	0.071656242	0.024274058	0.00562811	-0.093935535	-0.035272243	-0.431327471	-0.059918626	0.120009667	2.208218757	2.244566848	4.833915389	3.037845361	2.734745514
13.87049949	-3170.14223	-94555.72838	-9985.558961	-195498.3173	1.607096426	0.473011467	0.076346419	0.025228371	0.007686983	-0.189507228	0.009478961	0.006282906	0.020487869	0.032677722	2.318018157	2.306351015	3.023141825	2.371177552	1.709180714
1478.604558	-4434.473207	-709282.6641	-12548.75149	-217757.9808	1.814798168	0.36364336	0.070940388	0.021563404	0.005099176	0.007403456	-0.050768735	-0.078339735	-0.309495715	0.150895064	2.192590041	2.436352793	3.551685708	2.912060026	2.496840818
26.4441584	-300.2245999	-6923.598667	-3959.862352	-139999.7951	1.55054718	0.44667642	0.07700774	0.029815984	0.007217697	-0.122060938	-0.102259295	-0.18634747	-0.041859001	0.177897214	2.160516846	2.314382419	3.890402146	2.664064043	2.449434697
36.86166822	-1478.957988	-755773.9493	-27100.05351	-648189.7926	1.778739758	0.465236006	0.073559874	0.024702021	0.007556411	-0.193246355	-0.023665086	0.105591992	0.158547434	0.133163697	2.196160652	3.293069161	3.550434643	3.151632597	4.845798252
13206.99786	-427.8868251	-38368.60185	-230131.9233	-19349263	1.713922912	0.421985457	0.074893477	0.031305869	0.005614322	-0.002909493	-0.083772091	-0.093581582	-0.166579013	0.065195211	2.036298929	2.309420035	3.180950335	3.196760754	2.803351009
10.92431681	-716.6029908	-8089.824349	-128293.7743	-54801.02279	1.587032705	0.563204251	0.080887793	0.020619148	0.010510374	-0.296813156	-0.054141641	-0.239501597	-0.117311294	-0.024253826	2.521787835	2.423424227	3.80541785	2.950726404	2.380227117
17375.29125	-2914.069983	-289552.0237	-3345.715778	-537190.4512	1.79271552	0.323761454	0.053968101	0.023921468	0.00500898	-0.062049105	-0.001505469	0.096937504	0.009762058	0.309504564	2.153092024	2.755004409	3.163819658	3.32956709	2.649091336
155.4205687	-341.9320476	-5262144.274	-7421.482571	-3630970.078	1.551772998	0.511581275	0.077395588	0.028609685	0.006684295	-0.134958711	0.002750436	-0.009859554	0.014102347	-0.128959697	2.332079424	2.293647991	3.108476222	2.529831435	2.481331175
43.6296573	-14.66584487	-33868.21788	-14286.53172	-185470.3311	1.751999262	0.553057509	0.067538891	0.028353939	0.007227255	-0.187494152	0.039759204	-0.057619903	-0.008366269	0.123177824	2.116493313	2.520420396	2.953774287	2.231815301	2.313702436
5372.341514	-449.2168476	-2982.782964	-50479.90759	-32128350587	1.698413157	0.415665312	0.056681417	0.027507349	0.005252654	-0.009216965	-0.066754305	-0.697568683	-0.074686872	-0.089371318	2.116489621	2.161933934	5.305220944	2.280549393	2.336565986
