CV_IMF1	CV_IMF2	CV_IMF3	CV_IMF4	CV_IMF5	FI_IMF1	FI_IMF2	FI_IMF3	FI_IMF4	FI_IMF5	SK_IMF1	SK_IMF2	SK_IMF3	SK_IMF4	SK_IMF5	KU_IMF1	KU_IMF2	KU_IMF3	KU_IMF4	KU_IMF5
71.67950689	29933.43318	985.9949793	108.6944053	-12.77452938	4.418576175	1.13534464	0.380331375	0.102658129	0.019498383	-0.053782534	-0.051485538	0.007682673	0.066289533	0.176167617	3.02869774	3.442975712	3.342342448	3.634603705	2.088886563
76.37905181	217.6533027	26.50286158	59.83159459	-34.58706564	3.731738541	1.209920934	0.382103113	0.086880051	0.007100783	0.063953116	0.073783654	0.051454565	0.250201772	1.638329659	4.711459824	3.835814783	2.371646482	2.984776382	5.378381467
63.00198598	899.9816058	6117.135756	346.0263681	-919.009977	3.528960129	1.332442525	0.471469777	0.148245304	0.008420921	-0.368922896	0.160869394	0.128644436	-0.049136459	0.234170643	5.845145255	3.43129977	2.569457238	2.582910255	3.850313404
71.05934623	1649.589673	378.3496852	547.3509649	-161.0438823	4.024080092	1.461707879	0.359326557	0.102185995	0.015408006	-0.050620641	0.150515498	-0.215766489	-0.093318074	0.396354892	5.276968334	3.077956156	3.558666111	2.831150235	3.026044241
268.2669354	128.4501779	45047.83496	82.46881311	-200.1171638	4.281104733	1.340875792	0.367898419	0.10277246	0.010600755	0.04567025	-0.13979932	-0.049069712	-0.162660311	-0.12906775	3.839943014	3.221957239	2.504928908	2.736096317	3.962818456
251.7368116	4479.013758	207.7706448	183.3404946	-17749.023	3.464806365	1.255772288	0.375819256	0.138183989	0.01062	0.02991379	-0.106928396	0.205647542	0.109462687	0.007030864	3.699546058	3.833493703	3.432440032	2.422913551	2.046159583
50.95389514	25941.85745	72.78419903	58.28821323	727.0282669	3.77753854	1.380190555	0.564722325	0.158614338	0.028847927	-0.163780833	0.070400777	-0.104685862	0.047895926	0.16694624	4.023731501	3.7386694	3.1193017	2.166713472	2.661338586
91.77068898	116.7115187	400.8311275	47.79716291	33.73805037	4.541408396	1.6548324	0.534322922	0.147780853	0.031929534	0.003879102	0.14798607	-0.165980586	-0.011339816	0.096996746	4.627790711	3.321941289	2.891690283	2.757399311	1.913666656
2054.876214	373.7264583	117.9933192	29.22389449	-21186.57458	4.174212636	1.958389223	0.453956907	0.132424317	0.017851166	0.114313736	0.059040966	-0.016246727	-0.339592808	0.145493397	5.620563407	2.772776083	3.467749409	3.395473063	3.733317468
13.62685261	992.7762652	170.1281434	1166.856541	-293.7788427	4.137626342	1.583149758	0.443796588	0.122714993	0.021790418	-0.082562216	-0.019498929	-0.095386866	0.109158286	-0.020620312	3.348269327	3.545024251	2.720988828	2.746146347	2.313772954
